date,time,.00,TotalAcc,RInt
07/20/2023,02:52:04,0.00,0.00,12.01,0.00
07/20/2023,02:52:04,0.00,0.00,12.01,0.00
07/20/2023,02:53:04,0.00,0.00,12.01,0.00
07/20/2023,02:53:04,0.00,0.00,12.01,0.00
07/20/2023,02:54:03,0.00,0.00,12.01,0.00
07/20/2023,02:54:03,0.00,0.00,12.01,0.00
07/20/2023,02:55:04,0.00,0.00,12.01,0.00
07/20/2023,02:55:04,0.00,0.00,12.01,0.00
07/20/2023,02:56:03,0.00,0.00,12.01,0.00
07/20/2023,02:56:03,0.00,0.00,12.01,0.00
07/20/2023,02:56:04,0.00,0.00,12.01,0.00
07/20/2023,02:58:04,0.00,0.00,12.01,0.00
07/20/2023,02:58:04,0.00,0.00,12.01,0.00
07/20/2023,02:59:04,0.00,0.00,12.01,0.00
07/20/2023,02:59:04,0.00,0.00,12.01,0.00
07/20/2023,02:59:33,0.00,0.00,12.01,0.00
07/20/2023,03:00:03,0.00,0.00,12.01,0.00
07/20/2023,03:00:04,0.00,0.00,12.01,0.00
07/20/2023,03:01:03,0.00,0.00,12.01,0.00
07/20/2023,03:02:03,0.00,0.00,12.01,0.00
07/20/2023,03:02:03,0.00,0.00,12.01,0.00
07/20/2023,03:02:04,0.00,0.00,12.01,0.00
07/20/2023,03:03:04,0.00,0.00,12.01,0.00
07/20/2023,03:03:33,0.00,0.00,12.01,0.00
07/20/2023,03:04:04,0.00,0.00,12.01,0.00
07/20/2023,03:04:04,0.00,0.00,12.01,0.00
07/20/2023,03:05:32,0.00,0.00,12.01,0.00
07/20/2023,03:06:04,0.00,0.00,12.01,0.00
07/20/2023,03:07:04,12.01,0.00
07/20/2023,03:07:04,0.00,0.00,12.01,0.00
07/20/2023,03:08:03,0.00,0.00,12.01,0.00
07/20/2023,03:08:03,0.00,0.00,12.01,0.00
07/20/2023,03:08:32,0.00,0.00,12.01,0.00
07/20/2023,03:09:03,0.00,0.00,12.01,0.00
07/20/2023,03:09:03,0.00,0.00,12.01,0.00
07/20/2023,03:09:04,0.00,0.00,12.01,0.00
07/20/2023,03:10:04,0.00,0.00,12.01,0.00
07/20/2023,03:11:03,0.00,0.00,12.01,0.00
07/20/2023,03:11:04,0.00,0.00,12.01,0.00
07/20/2023,03:11:04,0.00,0.00,12.01,0.00
07/20/2023,03:12:03,0.00,0.00,12.01,0.00
07/20/2023,03:12:03,0.00,0.00,12.01,0.00
07/20/2023,03:13:03,0.00,0.00,12.01,0.00
07/20/2023,03:13:03,0.00,0.00,12.01,0.00
07/20/2023,03:13:32,0.00,0.00,12.01,0.00
07/20/2023,03:14:03,0.00,0.00,12.01,0.00
07/20/2023,03:14:03,0.00,0.00,12.01,0.00
07/20/2023,03:14:04,0.00,0.00,12.01,0.00
07/20/2023,03:15:04,0.00,0.00,12.01,0.00
07/20/2023,03:15:04,0.00,0.00,12.01,0.00
07/20/2023,03:15:04,0.00,0.00,12.01,0.00
07/20/2023,03:16:03,0.00,0.00,12.01,0.00
07/20/2023,03:16:03,0.00,0.00,12.01,0.00
07/20/2023,03:16:03,0.00,0.00,12.01,0.00
07/20/2023,03:17:03,0.00,0.00,12.01,0.00
07/20/2023,03:17:03,0.00,0.00,12.01,0.00
07/20/2023,03:17:04,0.00,0.00,12.01,0.00
07/20/2023,03:18:03,0.00,0.00,12.01,0.00
07/20/2023,03:18:03,0.00,0.00,12.01,0.00
07/20/2023,03:18:03,0.00,0.00,12.01,0.00
07/20/2023,03:19:03,0.00,0.00,12.01,0.00
07/20/2023,03:19:04,0.00,0.00,12.01,0.00
07/20/2023,03:20:04,0.00,0.00,12.01,0.00
07/20/2023,03:20:04,0.00,0.00,12.01,0.00
07/20/2023,03:20:04,0.00,0.00,12.01,0.00
07/20/2023,03:21:03,0.00,0.00,12.01,0.00
